time,open,high,low,close,Volume
1771312320,1.35797,1.35812,1.35783,1.35788,405
1771312500,1.35792,1.35792,1.3572,1.35742,496
1771312680,1.35743,1.35784,1.3569,1.357,386
1771312860,1.357,1.35718,1.35694,1.3571,274
1771313040,1.3571,1.35735,1.35704,1.3573,409
1771313220,1.35728,1.35734,1.357,1.35713,284
1771313400,1.35716,1.35722,1.35623,1.35661,711
1771313580,1.3566,1.35661,1.35582,1.3561,565
1771313760,1.35611,1.35646,1.35545,1.35552,518
1771313940,1.3555,1.35594,1.35524,1.3558,548
1771314120,1.35578,1.35618,1.35566,1.35616,394
1771314300,1.35616,1.3562,1.35572,1.3558,475
1771314480,1.3558,1.35586,1.35544,1.35554,438
1771314660,1.35554,1.35584,1.35524,1.3555,474
1771314840,1.35552,1.35588,1.35535,1.35582,473
1771315020,1.35582,1.35632,1.35578,1.35629,555
1771315200,1.35631,1.35685,1.35614,1.35644,674
1771315380,1.35643,1.35686,1.35642,1.35686,553
1771315560,1.35686,1.35726,1.35677,1.35714,514
1771315740,1.35709,1.35746,1.35696,1.3574,521
1771315920,1.35738,1.35758,1.3565,1.3565,370
1771316100,1.3565,1.35704,1.35648,1.357,464
1771316280,1.35701,1.35766,1.3569,1.35764,453
1771316460,1.35763,1.35786,1.3576,1.35786,320
1771316640,1.35783,1.35795,1.35762,1.35766,478
1771316820,1.35766,1.35783,1.35748,1.3578,426
1771317000,1.3578,1.35842,1.3578,1.3582,557
1771317180,1.3582,1.35832,1.35792,1.35808,418
1771317360,1.35808,1.35843,1.35798,1.35828,412
1771317540,1.35828,1.3583,1.35799,1.35821,386
1771317720,1.3582,1.35876,1.3582,1.35872,317
1771317900,1.35868,1.35888,1.35859,1.35862,425
1771318080,1.35862,1.3589,1.35856,1.35867,492
1771318260,1.35864,1.35894,1.35862,1.35864,271
1771318440,1.35864,1.3589,1.35854,1.35885,469
1771318620,1.35887,1.35907,1.35857,1.35858,455
1771318800,1.35858,1.35902,1.35841,1.35902,686
1771318980,1.35902,1.35936,1.35886,1.3592,361
1771319160,1.3592,1.3592,1.35862,1.35892,336
1771319340,1.35894,1.35894,1.35871,1.35882,404
1771319520,1.35882,1.35892,1.35872,1.3589,304
1771319700,1.35888,1.35939,1.35888,1.35931,493
1771319880,1.35932,1.35957,1.35928,1.35939,350
1771320060,1.35939,1.35958,1.35904,1.35908,374
1771320240,1.35909,1.35938,1.35896,1.35922,335
1771320420,1.35923,1.35928,1.35908,1.3591,288
1771320600,1.3591,1.35942,1.35906,1.35926,422
1771320780,1.35926,1.35976,1.35926,1.35964,390
1771320960,1.35962,1.35966,1.35934,1.35934,307
1771321140,1.35934,1.35952,1.35923,1.35944,312
1771321320,1.35943,1.35943,1.35914,1.3592,314
1771321500,1.35921,1.35962,1.35921,1.35948,273
1771321680,1.35948,1.35966,1.3591,1.3593,249
1771321860,1.3593,1.3595,1.35929,1.3593,306
1771322040,1.3593,1.35945,1.3593,1.35936,188
1771322220,1.35935,1.35937,1.3591,1.35914,196
1771322400,1.35914,1.3592,1.35896,1.3592,356
1771322580,1.35918,1.3596,1.35907,1.35958,333
1771322760,1.35958,1.35966,1.35951,1.35952,215
1771322940,1.35952,1.35988,1.35948,1.35975,274
1771323120,1.35976,1.35982,1.35903,1.35914,380
1771323300,1.35914,1.35924,1.35908,1.35914,279
1771323480,1.35914,1.35924,1.35909,1.3592,151
1771323660,1.35921,1.35955,1.3592,1.35952,295
1771323840,1.35952,1.35992,1.35952,1.35983,400
1771324020,1.35984,1.35992,1.35952,1.35952,265
1771324200,1.35953,1.35958,1.35938,1.35958,327
1771324380,1.35957,1.35972,1.35944,1.35969,297
1771324560,1.35972,1.3604,1.35968,1.3604,260
1771324740,1.36042,1.36064,1.3599,1.35992,480
1771324920,1.3599,1.36013,1.35974,1.36002,436
1771325100,1.35999,1.36002,1.3596,1.35961,404
1771325280,1.3596,1.3596,1.35929,1.35942,298
1771325460,1.35942,1.35954,1.35932,1.35952,359
1771325640,1.3595,1.35968,1.3594,1.35968,256
1771325820,1.35965,1.35972,1.35928,1.35954,337
1771326000,1.35953,1.35983,1.35948,1.35962,387
1771326180,1.35962,1.35964,1.35915,1.35918,486
1771326360,1.35917,1.35964,1.35912,1.35944,462
1771326540,1.35942,1.35944,1.35895,1.35904,551
1771326720,1.35903,1.35927,1.35878,1.35879,337
1771326900,1.3588,1.3589,1.35861,1.35879,302
1771327080,1.35879,1.35884,1.35846,1.35848,301
1771327260,1.35848,1.35882,1.35839,1.3586,271
1771327440,1.3586,1.35883,1.35852,1.3588,346
1771327620,1.35884,1.35886,1.35866,1.35878,246
1771327800,1.35877,1.3588,1.35838,1.35841,451
1771327980,1.35842,1.35842,1.35803,1.35804,316
1771328160,1.35802,1.35816,1.35782,1.35782,382
1771328340,1.35782,1.35785,1.35762,1.35781,341
